preprocessed_message,label
am on my way,0
will be september by then,0
hi shanilrakhesh herethanksi have exchanged the uncut diamond stuffleaving back excellent service by dino and prem,0
in other news after hassling me to get him weed for week andres has no money haughaighgtujhyguj,0
sez how is you de arab boy hope you all good give my love evry1 love ya eshxxxxxxxxxxx,0
then its most likely called mittelschmertz google it if you do not have paracetamol do not worry it will go,0
hm good morning headache anyone,0
wen you are free come to my home and also tel vikky hav sent mail to him also better come evening il be free today aftr 6pm,0
chile please it is only ltdecimalgt hour drive for me come down all the time and will be subletting febapril for audition season,0
87077 kick off new season with 2wks free goals news to you are mobile txt you are club name to 87077 eg villa to 87077,1
then we got to do it after that,0
well am going to finish my bath now have goodfine night,0
you are cashbalance is currently 500 pounds to maximize you are cashin now send collect to 83600 only 150pmessage cc 08718720201 po box 11414 tcrw1,1
we tried to contact you re your reply to our offer of video handset 750 anytime any networks mins unlimited text camcorder reply or call 08000930705 now,1
tell your friends what you plan to do on valentines day lturlgt,0
nah man my car is meant to be crammed full of people,0
are you coming to day for class,0
yeah do not go to bed will be back before midnight,0
we walked from my moms right on stagwood pass right on winterstone left on victors hill address is ltgt,0
was just about to ask will keep this one maybe that is why you did not get all the messages we sent you on glo,0
cab is availablethey pick up and drop at door steps,0
go until jurong point crazy available only in bugis great world la buffet cine there got amore wat,0
shall start from hear,0
finally it has happened aftr decades beer is now cheaper than petrol the goverment expects us to drink but do not drive,0
bored housewives chat date now 08717507711 btnational rate 10pmin only from landlines,1
pansy you have been living in jungle for two years its my driving you should be more worried about,0
the hair cream has not been shipped,0
hmm yeah if your not too grooved out and am looking forward to my pound special,0
get ready for ltgt inches of pleasure,0
you have won guaranteed £1000 cash or £2000 prizeto claim yr prize call our customer service representative on,1
lot of this sickness thing going round take it easy hope you feel better soon lol,0
did you fix the teethif not do it as soon as possibleok take care,0
thank you so much when we skyped wit kz and sura we did not get the pleasure of your company hope you are good we have given you ultimatum oh we are countin down to aburo enjoy this is the message sent days ago,0
you have secret admirer who is looking make contact with youfind out who they rreveal who thinks you are so specialcall on 09058094599,1
hey what are you doing no reply pa,0
aiyah then wait lor then you entertain me hee,0
done it but internet connection slow and can‘t send it will try again later or first thing tomo,0
we tried to call you re your reply to our sms for video mobile 750 mins unlimited text free camcorder reply or call now 08000930705 del thurs,1
aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning same here,0
urgent last weekends draw shows that you have won £1000 cash or spanish holiday call now 09050000332 to claim tc rstm sw7 3ss 150ppm,1
deep sigh miss you am really surprised you have not gone to the net cafe yet to get to me do not you miss me,0
how dare you stupid will not tell anything to you hear after will not talk to you,0
you are being contacted by our dating service by someone you know to find out who it is call from land line 09050000928 pobox45w2tg150p,1
camera you are awarded sipix digital camera call 09061221066 fromm landline delivery within 28 days,1
cps is causing the outages to conserve energy,0
geeeee love you so much can barely stand it,0
we are done,0
horrible gal me in sch doing some stuff how come you got mc,0
not for possession especially not first offense,0
so li hai me bored now da lecturer repeating last weeks stuff waste time,0
lol have to take it member how said my aunt flow did not visit for months it is because developed ovarian cysts because is the only way to shrink them,0
text me when you get off do not call my phones having problems,0
it just seems like weird timing that the night that all you and want is for me to come smoke is the same day as when shitstorm is attributed to me always coming over and making everyone smoke,0
do you want new nokia 3510i colour phone delivered tomorrow with 200 free minutes to any mobile 100 free text free camcorder reply or call 08000930705,1
cool text me when you head out,0
ok lor message me before you call,0
don no dawhat is you plan,0
hiwhat you think about match,0
hidid you asked to waheeda fathima about leave,0
we will you pay over like ltgt yrs so its not too difficult,0
yoyyooo you know how to change permissions for drive in mac my usb flash drive,0
hai priya are you right what doctor said pa where are you,0
you will never believe this but have actually got off at taunton wow,0
no am not having not any movies in my laptop,0
midnight at the earliest,0
how was txting and driving,0
yes will be there glad you made it,0
our ride equally uneventful not too many of those pesky cyclists around at that time of night,0
send me your id and password,0
do not know lei thk mum lazy to go out neva ask her yet,0
lol no just was busy,0
