message,label
happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle st,0
u got person story,0
see thought,0
wishing beautiful day moment revealing even thing keep smiling enjoy,0
watching tv lor nice one like lor,0
oops ill let know roommate done,0
well little time thing good time ahead,0
u laugh really loud u talk spontaneously u dont care others feel u probably dear amp best friend goodevening dear,0
tried contact reply offer video handset anytime network min unlimited text camcorder reply call,1
forgot ask ü smth there card da present lei ü want write smth sign,0
boo im way mom shes making tortilla soup yummmm,0
wat r u,0
hey whats charles sorry late reply,0
hahahause brain dear,0
moji love word rich day,0
ringtoneking,1
wewa iriver mb,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,0
dawhats plan,0
new message please call,1
big brother alert computer selected u k cash voucher call ntt po box cro bt landline cost ppm mobile vary,1
rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,1
came hostel,0
neshanthtel r u,0
spjanuary male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop text call pmin,1
many time lose best one bcoz,0
yeshere tv always available work place,0
sorry took long omw,0
come mahal bus stop ltdecimalgt,0
kkgoodstudy well,0
purchase stuff today mail po box number,0
mean u could keep ur word,0
many happy return day wish happy birthday,0
wan win meetgreet westlife u currently tour unbreakable untamed unkempt text cost p std text,1
mag meeting avo point,0
u outbid simonwatson shinco dvd plyr bid visit sm acsmsrewards end bid notification reply end,1
get,0
good morning dear great amp successful day,0
india take lead,0
ugh hopefully asus ppl dont randomly reformat,0
ill ltgt ok,0
convey regard,0
want inside every night,0
urgent nd attempt contact u £ prize yesterday still awaiting collection claim call,1
said text one time,0
yup next stop,0
got meh,0
v nice sheffield tom air opinion category b used measure ethnicity next census busy transcribing,0
miss ya need ya want ya love ya,0
valentine day special win £ quiz take partner trip lifetime send go pmsg rcvd custcare,1
see letter b car,0
remind get shall,0
hi hope u get txtjourney hasnt gdnow min late think,0
many people seems special first sight remain special till last sight maintain till life end shjas,0
okie,0
yup ü comin,0
buy blackberry bold torch buy new used let know plus saying buy ltgt g wifi ipad saying ltgt g,0
yup anything lor u dun wan ok,0
yes started send request make pain came back im back bed double coin factory got ta cash nitros,0
well im computerless time make oreo truffle,0
thk ü got ta go home urself co ill b going shopping frens present,0
someone smoke every time ive smoked last two week calling texting wanted smoke,0
mark work tomorrow get work house meet u afterwards,0
nonenowhere ikno doesdiscountshitinnit,0
guessin aint gon na,0
hey babe u doin wot u nite love annie x,0
say somebody named tampa,0
missionary hook doggy hook standing,0
lol ok didnt remember til last nite,0
want finally lunch today,0
hey sexy bun day word morning ym think,0
got called tool,0
frnd juz wordnot merely relationshipits silent promise say wherevr whenevr forevr gudnyt dear,0
yeah imagine would really gentle unlike doc treat patient like turkey,0
tried contact response offer new nokia fone camcorder hit reply call delivery,1
tot u outside co darren say u come shopping course nice wat jus went sim lim look mp player,0
want see pretty pussy,0
wow didnt think common take back ur freak unless u chop,0
someone contacted dating service entered phone becausethey fancy find call landline pobox wrg p,1
planning come chennai,0
height oh shit situation guy throw luv letter gal fall brother head who gayd,0
come get b quite diff guess rite,0
sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish,0
thats significant dont worry,0
didnt spring coming early yay,0
u going ikea str aft dat,0
new car house parentsi new job hand,0
dont use hook,0
baby promise treat well bet take good care,0
huh also many mistake,0
smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling,0
cant make tonight,0
jus telling u dat ill b leaving shanghai st instead well haf time meet cya,0
dnt wnt tlk wid u,0
started searching get job dayshe great potential talent,0
hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x calls£minmobsmorelkpoboxhpfl,1
hard believe thing like say lie think twice saying anything,0
heart empty without love mind empty without wisdom eye r empty without dream amp life empty without frnds alwys touch good night amp sweet dream,0
came look flat seems ok away alot wiv work got woman coming,0
hi dear saw dear happy battery low,0
come life brought sun shiny warming heart putting constant smile face making feel loved cared,0
please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei already see netno ticket availablei want book ticket tackle,0
hottest pic straight phone see getting wet wanting xx text pic txt cost p textoperator gga xxx,1
umma say anything,0
stop calling everyone saying might cancer throat hurt talk cant answering everyones call get one call im babysitting monday,0
come slave going shell unconsciously avoiding making unhappy,0
tirupur call da,0
bring tat cd forget,0
u dun wan u dun like already ah wat u still eating,0
lost kilo today,0
taking part mobile survey yesterday text use however wish get txts send txt tc wwwtxtcom p,1
k jason say he gon na around ill around ltgt,0
yeah go bored depressed sittin waitin phone ring hope wind drop though scary,0
hi babe uawakefeellikw shitjustfound via aletter thatmum gotmarried thnovbehind ourbacks  fuckinniceselfishdeviousbitchanywayil call u,0
got call landline number asked come anna nagar go afternoon,0
pandy joined w technology todayhe got job,0
completed degree use joining finance,0
thanks temales wonderful thank great week,0
sometimes heart remembrs someone much forgets someone soon bcoz heart like everyone liked one remembered everytime bslvyl,0
urgent trying contact last weekend draw show u £ prize guaranteed call claim code k valid hr p pm,1
specially selected receive pound award call line close cost ppm tc apply ag promo,1
appt lttimegt fault u dont listen told u twice,0
ah poor babyhope urfeeling bettersn luv probthat overdose work hey go careful spk u sn lot lovejen xxx,0
buy one egg daplease,0
sorry battery died come im getting gram wheres place,0
prabhaim sorydarealyfrm heart im sory,0
ltdecimalgt common car better buy china asia find le expensive ill holla,0
ya im referin mei ex wat ah waitin u treat somebody shld b rich liaoso gd den u dun work frm tmr onwards,0
india win level series mean record,0
oh great ill disturb talk,0
sry dajst nw came home,0
thursday night yeah sure thing well work,0
ok ask abt e movie u wan ktv oso,0
unlimited text limited minute,0
free st week entry textpod chance win gb ipod £ cash every wk txt pod tscs wwwtextpodnet custcare,1
yes glad made,0
ltgt mca conform,0
mean still think teju,0
wow v v impressed fun shopping,0
stand away doesnt heart ache without dont wonder dont crave,0
u secret admirer looking make contact ufind rreveal think ur specialcall,1
sac need carry,0
boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided aproach gal dt time truck speeding towards gal wn hit girld boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily gthr drinking boost evrydy moral story hv free msgsd gud ni,0
make lasagna vodka,0
computer fried essential part dont keep spare fucking idiot roommate looovvve leaving thing running full ltgt,0
hey late ah meet,0
omg one thing another cat worm bad day end,0
dare stupid wont tell anything hear wont talk,0
important message final contact attempt important message waiting customer claim dept expires call,1
geeeee love much barely stand,0
meant middle left right,0
sm ac jsco energy high u may know channel day ur leadership skill r strong psychic reply an wquestion end reply end jsco,1
shopping eh ger toking abt syd lehhaha,0
apo mokka player,0
jordan got voted last nite,0
im reading text sent meant joke read light,0
reach office around ltdecimalgt amp mobile problem cannt get voice call asa ill free,0
yet chikkugoing room nw im bus,0
aldrine rakhesh ex rtm herepls callurgent,0
well there lot thing happening lindsay new year sigh bar ptbo blue heron something going,0
please call customer service representative ampm guaranteed £ cash £ prize,1
didnt see shadow get early spring yay,0
whenwhere pick,0
cant talk nowi call candont keep calling,0
hey happy birthday,0
mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update orstoptxt tc,1
askd u question hour answer,0
yup wun believe wat u really neva c e msg sent shuhui,0
honeybee said im sweetest world god laughed amp said waitu havnt met person reading msg moral even god crack joke gmgngegn,0
like cheap ‘ happy splash wine make feel better,0
sorry never hear unless book one kinda jokethet really looking skinny white girl one lineyou much camera something like theyre casting look,0
u buy newspaper already,0
got new job bar airport satsgettin per hour mean lie keep touch,0
thank generally date brothas,0
told number gautham,0
want cock hubby away need real man satisfy txt wife string action txt stop end txt rec £ea otbox la w,1
ready big day tomorrow,0
lol u trust,0
nd time tried contact u u £ prize claim easy call p per minute btnationalrate,1
im work please call,0
cant pick phone right pls send message,0
please leave topicsorry telling,0
eh u send wrongly lar,0
work going min,0
boy late home father power frndship,0
u got person story,0
so amount get pls,0
long beach lor expected u dinner,0
much ur hdd casing cost,0
probably money worry thing coming due several outstanding invoice work two three month ago,0
ya srsly better yi tho,0
thought praps meant another one goodo ill look tomorrow,0
ey calm downon theacusations itxt u co iwana know wotu r doin thewend haventcn u agesring ur nething satlove j xxx,0
last chance claim ur £ worth discount voucher today text shop savamob offer mobile c savamob pobox muz £ sub,1
wait ltgt min,0
freezing home yet remember kiss mom morning love think missing yet,0
saw messageit k da,0
sound like something someone testing would sayy,0
aah bless hows arm,0
hope feeling great pls fill abiola,0
private account statement show unredeemed point call identifier code expires,1
real tho suck cant even cook whole electricity im hungry,0
dont fret ill buy ovulation test strip send wont get til like march send postal addressull alrightokay,0
whats want come online,0
u love someone dont make love u much u love much dont want loved anyone except gud nit,0
right meanwhile hows project twin comin,0
usualiam fine happy amp well,0
yes princess want please every night wish command,0
u attend ur driving lesson many time wk n day,0
strange watching nd one im bed sweet dream miss u,0
yes da plm ur office,0
way ur home,0
got outta class gon na go gym,0
important customer service announcement premier,1
kay since already,0
usf guess might well take car,0
hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
please send aunty number,0
daddy bb,0
available soiree june rd,0
e msg jus u said thanks gift,0
ha must walk everywhere take tram cousin said walk vic market hotel,0
ill post lr class,0
forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol,0
dont plan staying night prolly wont back til late,0
ok im sure time finish tomorrow wan na spend evening co would vewy vewy lubly love xxx,0
opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,0
wishing great day moji told offer always speechless offer easily go great length behalf stunning exam next friday keep touch sorry,0
set place heart mind mind easily forgets heart always remember wish happy valentine day,0
great day beautiful one,0
yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae lyf nt yet ovr chikkuali vargu lyfu meow meowd,0
